Kumulace čtvrtletí,"ČR, kraje",Ukazatel,value
Q1-Q3 2024,Liberecký kraj,Počet obyvatel na konci období - ženy,228648
Q1-Q3 2024,Královéhradecký kraj,Počet obyvatel na počátku období - celkem,556949
Q1-Q3 2024,Královéhradecký kraj,Počet obyvatel na počátku období - muži,273632
Q1-Q3 2024,Královéhradecký kraj,Počet obyvatel na počátku období - ženy,283317
Q1-Q3 2024,Královéhradecký kraj,Střední stav obyvatel - celkem,555749
Q1-Q3 2024,Královéhradecký kraj,Střední stav obyvatel - muži,273237
Q1-Q3 2024,Královéhradecký kraj,Střední stav obyvatel - ženy,282512
Q1-Q3 2024,Královéhradecký kraj,Počet obyvatel na konci období - celkem,555850
Q1-Q3 2024,Královéhradecký kraj,Počet obyvatel na konci období - muži,273348
Q1-Q3 2024,Královéhradecký kraj,Počet obyvatel na konci období - ženy,282502
Q1-Q3 2024,Pardubický kraj,Počet obyvatel na počátku období - celkem,530560
Q1-Q3 2024,Pardubický kraj,Počet obyvatel na počátku období - muži,262028
Q1-Q3 2024,Pardubický kraj,Počet obyvatel na počátku období - ženy,268532
Q1-Q3 2024,Pardubický kraj,Střední stav obyvatel - celkem,529739
Q1-Q3 2024,Pardubický kraj,Střední stav obyvatel - muži,261880
Q1-Q3 2024,Pardubický kraj,Střední stav obyvatel - ženy,267859
Q1-Q3 2024,Pardubický kraj,Počet obyvatel na konci období - celkem,530000
Q1-Q3 2024,Pardubický kraj,Počet obyvatel na konci období - muži,262119
Q1-Q3 2024,Pardubický kraj,Počet obyvatel na konci období - ženy,267881
Q1-Q3 2024,Kraj Vysočina,Počet obyvatel na počátku období - celkem,517960
Q1-Q3 2024,Kraj Vysočina,Počet obyvatel na počátku období - muži,257012
Q1-Q3 2024,Kraj Vysočina,Počet obyvatel na počátku období - ženy,260948
Q1-Q3 2024,Kraj Vysočina,Střední stav obyvatel - celkem,517246
Q1-Q3 2024,Kraj Vysočina,Střední stav obyvatel - muži,256873
Q1-Q3 2024,Kraj Vysočina,Střední stav obyvatel - ženy,260373
Q1-Q3 2024,Kraj Vysočina,Počet obyvatel na konci období - celkem,517664
Q1-Q3 2024,Kraj Vysočina,Počet obyvatel na konci období - muži,257229
Q1-Q3 2024,Kraj Vysočina,Počet obyvatel na konci období - ženy,260435
Q1-Q3 2024,Jihomoravský kraj,Počet obyvatel na počátku období - celkem,1226749
Q1-Q3 2024,Jihomoravský kraj,Počet obyvatel na počátku období - muži,600541
Q1-Q3 2024,Jihomoravský kraj,Počet obyvatel na počátku období - ženy,626208
Q1-Q3 2024,Jihomoravský kraj,Střední stav obyvatel - celkem,1225885
Q1-Q3 2024,Jihomoravský kraj,Střední stav obyvatel - muži,600671
Q1-Q3 2024,Jihomoravský kraj,Střední stav obyvatel - ženy,625214
Q1-Q3 2024,Jihomoravský kraj,Počet obyvatel na konci období - celkem,1227503
Q1-Q3 2024,Jihomoravský kraj,Počet obyvatel na konci období - muži,601600
Q1-Q3 2024,Jihomoravský kraj,Počet obyvatel na konci období - ženy,625903
Q1-Q3 2024,Olomoucký kraj,Počet obyvatel na počátku období - celkem,632864
Q1-Q3 2024,Olomoucký kraj,Počet obyvatel na počátku období - muži,309380
Q1-Q3 2024,Olomoucký kraj,Počet obyvatel na počátku období - ženy,323484
Q1-Q3 2024,Olomoucký kraj,Střední stav obyvatel - celkem,631835
Q1-Q3 2024,Olomoucký kraj,Střední stav obyvatel - muži,309047
Q1-Q3 2024,Olomoucký kraj,Střední stav obyvatel - ženy,322788
Q1-Q3 2024,Olomoucký kraj,Počet obyvatel na konci období - celkem,631688
Q1-Q3 2024,Olomoucký kraj,Počet obyvatel na konci období - muži,308996
Q1-Q3 2024,Olomoucký kraj,Počet obyvatel na konci období - ženy,322692
Q1-Q3 2024,Zlínský kraj,Počet obyvatel na počátku období - celkem,580744
Q1-Q3 2024,Zlínský kraj,Počet obyvatel na počátku období - muži,284864
Q1-Q3 2024,Zlínský kraj,Počet obyvatel na počátku období - ženy,295880
Q1-Q3 2024,Zlínský kraj,Střední stav obyvatel - celkem,579562
Q1-Q3 2024,Zlínský kraj,Střední stav obyvatel - muži,284394
Q1-Q3 2024,Zlínský kraj,Střední stav obyvatel - ženy,295168
Q1-Q3 2024,Zlínský kraj,Počet obyvatel na konci období - celkem,579180
Q1-Q3 2024,Zlínský kraj,Počet obyvatel na konci období - muži,284184
Q1-Q3 2024,Zlínský kraj,Počet obyvatel na konci období - ženy,294996
Q1-Q3 2024,Moravskoslezský kraj,Počet obyvatel na počátku období - celkem,1189204
Q1-Q3 2024,Moravskoslezský kraj,Počet obyvatel na počátku období - muži,582407
Q1-Q3 2024,Moravskoslezský kraj,Počet obyvatel na počátku období - ženy,606797
Q1-Q3 2024,Moravskoslezský kraj,Střední stav obyvatel - celkem,1185641
Q1-Q3 2024,Moravskoslezský kraj,Střední stav obyvatel - muži,580899
Q1-Q3 2024,Moravskoslezský kraj,Střední stav obyvatel - ženy,604742
Q1-Q3 2024,Moravskoslezský kraj,Počet obyvatel na konci období - celkem,1183474
Q1-Q3 2024,Moravskoslezský kraj,Počet obyvatel na konci období - muži,579976
Q1-Q3 2024,Moravskoslezský kraj,Počet obyvatel na konci období - ženy,603498
